county,year,Total farm production expenditures,Average per farm,Fertilizer lime and soil conditioners purchased,Chemicals purchased,Seeds plants vines and trees purchased,Livestock and poultry purchased or leased,Breeding livestock purchased or leased,Other livestock and poultry purchased or leased,Feed purchased,Gasoline fuels and oils purchased,Utilities,Repairs supplies and maintenance cost,Hired farm labor,Contract labor,Customwork and custom hauling,Cash rent for land buildings and grazing fees,Rent and lease expenses for machinery equipment and farm share of vehicles,Interest expense,Property taxes paid,All other production expenses,Depreciation expenses claimed
Berkshire,2007,23333,44699,739,287,1246,415,118,,5611,1539,825,2058,4373,158,142,603,71,888,2715,2539,2554
Berkshire,2012,28325,53951,225,101,141,117,69,,300,1704,994,2053,6145,364,256,56,100,1497,2505,3804,2252
Bristol,2007,40179,51710,2169,951,4084,586,163,,5138,2903,1490,4372,10210,498,416,813,73,1140,3156,2930,3748
Bristol,2012,44306,61793,372,244,250,154,161,,429,2775,1566,3385,12850,1683,331,109,92,1617,2945,3321,3803
Dukes,2007,3584,44248,123,,180,,7,,531,258,128,515,1370,,,,,,298,,
Dukes,2012,7120,80915,39,13,32,18,51,,40,490,276,406,2910,49,12,17,2,206,532,630,469
Essex,2007,33397,62895,686,406,2767,704,150,,4907,2263,1230,3685,9510,1005,,,276,1734,2899,2460,2397
Essex,2012,42290,81016,285,134,202,108,344,,268,1909,1284,2804,15754,641,320,67,80,2115,3734,4062,3762
Franklin,2007,51557,69578,2929,1764,2672,1268,339,,6473,3787,1979,5332,13182,1137,219,1492,279,1729,3006,7036,3172
Franklin,2012,61694,79095,407,211,241,171,216,,389,3615,2250,6221,18663,970,867,110,190,2715,3887,5719,5145
Hampden H,2007,22725,44735,1163,583,827,465,172,,3238,1851,646,2399,4774,873,242,480,160,1341,2101,2675,1798
Hampden H,2012,23749,40806,274,141,169,105,184,,247,1646,699,2237,5407,510,446,84,30,863,2002,3154,1654
Middlesex,2007,76365,109092,1684,1996,13684,651,180,,4475,5261,2796,6364,27097,1495,,1148,275,1483,3744,12326,4920
Middlesex,2012,81868,110783,376,183,271,116,168,,356,3356,3316,4740,31460,2278,529,129,215,2393,4146,5796,8392
Nantucket,2007,2514,179558,51,,,,,,,129,,238,972,,,,,,42,295,
Nantucket,2012,1486,74287,12,6,8,,,,3,134,46,64,449,141,,3,60,58,254,300,298
Norfolk,2007,15751,59664,364,237,629,186,65,,1389,950,539,1148,5329,287,43,289,60,776,1494,1697,788
Norfolk,2012,18980,77470,121,58,92,52,44,,157,1012,667,1225,7769,407,312,21,25,1332,1555,1580,1569
Plymouth,2007,64809,73479,3695,5929,4381,750,70,,2748,4441,2273,7203,15032,4167,1459,1494,541,3856,3543,7062,7180
Plymouth,2012,91856,111340,555,453,186,140,150,,314,6801,3555,7741,20380,10578,4673,113,713,3502,5038,9877,8928
Suffolk,2007,271,38671,17,,,,,,,52,,8,34,,,,,,22,,
Suffolk,2012,811,40539,5,2,5,,,,1,7,11,21,648,,,,,,36,41,
Worcester,2007,75585,48859,1545,1245,4638,1174,360,,8454,3947,2370,7104,12685,2151,553,794,285,3913,5968,18013,5706
Worcester,2012,68660,44013,744,396,468,308,425,,857,3580,2511,4789,20508,1635,346,150,108,3450,7069,6813,6517
ampshire,2007,35920,50520,3709,1893,3297,732,137,,5667,2432,1359,3742,9732,430,330,1489,230,1494,2761,3320,3148
ampshire,2012,44810,56083,384,215,250,105,155,,348,2517,1387,3432,11374,613,453,145,149,1454,3137,3507,3537
arnstable,2007,15494,38162,220,682,1028,208,15,,2042,1259,901,1883,3924,496,82,284,136,729,761,2093,1389
arnstable,2012,23363,70160,165,115,124,56,38,,112,1072,957,1598,10049,972,162,132,95,1013,1114,1867,1462